instance_name,makespan,runtime_seconds,generations_completed
200j_10m_100.fjs,2182,3364.1,2
200j_10m_088.fjs,2233,3385.5,2
200j_10m_052.fjs,2219,3412.8,2
200j_10m_032.fjs,2242,3425.5,2
200j_10m_089.fjs,2213,3430.4,2
200j_10m_090.fjs,2216,3436.0,2
200j_10m_097.fjs,2190,3446.0,2
200j_10m_065.fjs,2275,3451.5,2
200j_10m_059.fjs,2219,3458.3,2
200j_10m_011.fjs,2315,3462.5,2
200j_10m_056.fjs,2208,3470.6,2
200j_10m_047.fjs,2171,3477.2,2
200j_10m_009.fjs,2272,3482.0,2
200j_10m_075.fjs,2230,3482.5,2
200j_10m_068.fjs,2298,3506.2,2
200j_10m_007.fjs,2234,3521.9,2
200j_10m_096.fjs,2213,3530.8,2
200j_10m_055.fjs,2178,3538.9,2
200j_10m_045.fjs,2269,3554.0,2
200j_10m_076.fjs,2194,3559.8,2
200j_10m_063.fjs,2214,3562.3,2
200j_10m_093.fjs,2281,3568.6,2
200j_10m_080.fjs,2189,3575.1,2
200j_10m_027.fjs,2267,3585.3,2
200j_10m_006.fjs,2275,3587.7,2
200j_10m_025.fjs,2190,3605.8,2
200j_10m_018.fjs,2238,3609.9,2
200j_10m_036.fjs,2163,3611.9,2
200j_10m_067.fjs,2191,3616.2,2
200j_10m_017.fjs,2295,3620.9,2
200j_10m_041.fjs,2211,3630.5,2
200j_10m_091.fjs,2240,3636.1,2
200j_10m_092.fjs,2237,3638.5,2
200j_10m_099.fjs,2301,3654.5,2
200j_10m_079.fjs,2238,3664.5,2
200j_10m_016.fjs,2258,3675.6,2
200j_10m_074.fjs,2259,3676.2,2
200j_10m_040.fjs,2253,3694.7,2
200j_10m_008.fjs,2341,3695.6,2
200j_10m_058.fjs,2211,3696.1,2
200j_10m_085.fjs,2192,3700.8,2
200j_10m_004.fjs,2263,3711.6,2
200j_10m_042.fjs,2199,3711.7,2
200j_10m_021.fjs,2268,3715.4,2
200j_10m_029.fjs,2230,3719.7,2
200j_10m_035.fjs,2239,3726.9,2
200j_10m_054.fjs,2247,3727.0,2
200j_10m_022.fjs,2257,3728.8,2
200j_10m_028.fjs,2173,3730.6,2
200j_10m_038.fjs,2306,3731.5,2
200j_10m_078.fjs,2326,3732.0,2
200j_10m_073.fjs,2285,3737.5,2
200j_10m_002.fjs,2240,3739.4,2
200j_10m_026.fjs,2247,3741.4,2
200j_10m_005.fjs,2258,3742.9,2
200j_10m_043.fjs,2237,3746.3,2
200j_10m_061.fjs,2219,3763.5,2
200j_10m_010.fjs,2246,3763.5,2
200j_10m_003.fjs,2341,3764.0,2
200j_10m_087.fjs,2366,3766.4,2
200j_10m_048.fjs,2294,3778.2,2
200j_10m_020.fjs,2206,3781.3,2
200j_10m_057.fjs,2221,3781.8,2
200j_10m_082.fjs,2193,3783.6,2
200j_10m_023.fjs,2214,3793.6,2
200j_10m_031.fjs,2246,3800.9,2
200j_10m_070.fjs,2179,3805.1,2
200j_10m_081.fjs,2266,3817.7,2
200j_10m_053.fjs,2221,3818.9,2
200j_10m_066.fjs,2290,3827.5,2
200j_10m_051.fjs,2244,3832.6,2
200j_10m_024.fjs,2258,3836.2,2
200j_10m_094.fjs,2311,3852.4,2
200j_10m_086.fjs,2203,3857.0,2
200j_10m_071.fjs,2240,3861.4,2
200j_10m_037.fjs,2254,3861.6,2
200j_10m_044.fjs,2257,3871.1,2
200j_10m_049.fjs,2252,3884.4,2
200j_10m_015.fjs,2199,3890.7,2
200j_10m_050.fjs,2220,3896.7,2
200j_10m_072.fjs,2246,3897.1,2
200j_10m_013.fjs,2320,3915.6,2
200j_10m_001.fjs,2281,3926.3,2
200j_10m_095.fjs,2270,3930.5,2
200j_10m_030.fjs,2278,3932.9,2
200j_10m_034.fjs,2257,3936.4,2
200j_10m_077.fjs,2251,3947.8,2
200j_10m_062.fjs,2275,3954.5,2
200j_10m_069.fjs,2278,3982.6,2
200j_10m_064.fjs,2282,3987.2,2
200j_10m_033.fjs,2274,3988.0,2
200j_10m_084.fjs,2245,4021.8,3
200j_10m_014.fjs,2161,4045.7,2
200j_10m_098.fjs,2201,4068.0,3
200j_10m_060.fjs,2255,4072.0,2
200j_10m_083.fjs,2289,4104.9,2
200j_10m_046.fjs,2247,4169.0,2
200j_10m_039.fjs,2186,4170.6,2
200j_10m_012.fjs,2291,4185.0,2
200j_10m_019.fjs,2313,4238.0,2
