instance_name,makespan,runtime_seconds,generations_completed
50j_10m_038.fjs,620,1830.6,136
50j_10m_088.fjs,632,1832.3,122
50j_10m_074.fjs,582,1833.1,133
50j_10m_056.fjs,636,1833.3,129
50j_10m_080.fjs,623,1833.7,128
50j_10m_049.fjs,665,1833.9,119
50j_10m_093.fjs,592,1834.1,152
50j_10m_026.fjs,671,1834.3,117
50j_10m_087.fjs,617,1834.6,133
50j_10m_010.fjs,656,1834.6,115
50j_10m_097.fjs,621,1834.8,130
50j_10m_061.fjs,611,1835.2,149
50j_10m_055.fjs,629,1835.4,122
50j_10m_086.fjs,619,1835.5,115
50j_10m_071.fjs,629,1836.4,125
50j_10m_073.fjs,651,1836.5,123
50j_10m_070.fjs,617,1836.8,130
50j_10m_037.fjs,588,1837.1,132
50j_10m_084.fjs,643,1837.4,120
50j_10m_078.fjs,645,1837.4,121
50j_10m_044.fjs,619,1837.7,136
50j_10m_090.fjs,612,1837.9,129
50j_10m_060.fjs,661,1838.0,129
50j_10m_068.fjs,615,1838.0,135
50j_10m_034.fjs,597,1838.1,141
50j_10m_017.fjs,610,1838.2,121
50j_10m_082.fjs,673,1838.4,117
50j_10m_020.fjs,641,1838.8,134
50j_10m_092.fjs,631,1839.2,130
50j_10m_075.fjs,659,1839.2,122
50j_10m_021.fjs,624,1839.3,118
50j_10m_005.fjs,626,1839.4,131
50j_10m_035.fjs,632,1839.7,124
50j_10m_091.fjs,678,1839.7,127
50j_10m_054.fjs,634,1839.8,129
50j_10m_003.fjs,637,1840.2,133
50j_10m_072.fjs,629,1840.4,125
50j_10m_063.fjs,634,1840.7,137
50j_10m_089.fjs,628,1840.7,135
50j_10m_066.fjs,652,1840.8,126
50j_10m_011.fjs,692,1840.8,112
50j_10m_098.fjs,694,1840.8,119
50j_10m_053.fjs,645,1840.8,135
50j_10m_047.fjs,640,1840.9,114
50j_10m_100.fjs,606,1840.9,131
50j_10m_067.fjs,637,1840.9,124
50j_10m_018.fjs,636,1841.3,115
50j_10m_007.fjs,598,1841.3,137
50j_10m_045.fjs,613,1841.6,132
50j_10m_028.fjs,676,1841.6,121
50j_10m_065.fjs,619,1841.6,118
50j_10m_036.fjs,635,1841.8,127
50j_10m_025.fjs,645,1841.9,117
50j_10m_030.fjs,605,1841.9,134
50j_10m_057.fjs,629,1842.0,138
50j_10m_052.fjs,598,1842.1,131
50j_10m_033.fjs,660,1842.1,107
50j_10m_032.fjs,622,1842.5,128
50j_10m_042.fjs,666,1842.6,131
50j_10m_046.fjs,593,1842.8,138
50j_10m_050.fjs,669,1842.9,132
50j_10m_069.fjs,643,1843.1,130
50j_10m_016.fjs,648,1843.3,132
50j_10m_023.fjs,684,1843.4,127
50j_10m_039.fjs,597,1843.5,132
50j_10m_040.fjs,642,1843.7,126
50j_10m_001.fjs,629,1843.7,130
50j_10m_022.fjs,657,1843.8,123
50j_10m_077.fjs,619,1843.9,141
50j_10m_076.fjs,636,1844.2,125
50j_10m_095.fjs,670,1844.3,127
50j_10m_015.fjs,647,1844.4,119
50j_10m_024.fjs,612,1844.5,126
50j_10m_019.fjs,627,1844.5,126
50j_10m_048.fjs,635,1844.7,124
50j_10m_099.fjs,672,1844.7,125
50j_10m_058.fjs,657,1844.8,112
50j_10m_014.fjs,671,1845.1,122
50j_10m_006.fjs,625,1845.3,116
50j_10m_031.fjs,625,1845.3,130
50j_10m_027.fjs,679,1845.4,121
50j_10m_013.fjs,660,1845.4,125
50j_10m_043.fjs,660,1845.6,109
50j_10m_064.fjs,668,1845.8,115
50j_10m_059.fjs,641,1846.0,125
50j_10m_051.fjs,642,1846.2,117
50j_10m_083.fjs,635,1846.4,121
50j_10m_079.fjs,630,1847.6,120
50j_10m_096.fjs,631,1848.6,117
50j_10m_029.fjs,663,1848.7,124
50j_10m_081.fjs,671,1848.7,121
50j_10m_094.fjs,638,1848.8,116
50j_10m_009.fjs,634,1849.3,123
50j_10m_041.fjs,684,1849.4,118
50j_10m_085.fjs,642,1850.0,88
50j_10m_002.fjs,626,1851.1,122
50j_10m_008.fjs,612,1851.6,132
50j_10m_062.fjs,622,1851.7,119
50j_10m_012.fjs,663,1852.9,119
50j_10m_004.fjs,634,1854.6,125
