instance_name,makespan
15x10+mix_001.fjs,523
15x10+mix_002.fjs,642
15x10+mix_003.fjs,520
15x10+mix_004.fjs,536
15x10+mix_005.fjs,609
15x10+mix_006.fjs,738
15x10+mix_007.fjs,580
15x10+mix_008.fjs,533
15x10+mix_009.fjs,552
15x10+mix_010.fjs,654
15x10+mix_011.fjs,705
15x10+mix_012.fjs,637
15x10+mix_013.fjs,568
15x10+mix_014.fjs,550
15x10+mix_015.fjs,505
15x10+mix_016.fjs,632
15x10+mix_017.fjs,663
15x10+mix_018.fjs,510
15x10+mix_019.fjs,510
15x10+mix_020.fjs,488
15x10+mix_021.fjs,495
15x10+mix_022.fjs,557
15x10+mix_023.fjs,721
15x10+mix_024.fjs,678
15x10+mix_025.fjs,589
15x10+mix_026.fjs,553
15x10+mix_027.fjs,436
15x10+mix_028.fjs,605
15x10+mix_029.fjs,742
15x10+mix_030.fjs,533
15x10+mix_031.fjs,678
15x10+mix_032.fjs,739
15x10+mix_033.fjs,556
15x10+mix_034.fjs,585
15x10+mix_035.fjs,679
15x10+mix_036.fjs,494
15x10+mix_037.fjs,728
15x10+mix_038.fjs,535
15x10+mix_039.fjs,690
15x10+mix_040.fjs,524
15x10+mix_041.fjs,608
15x10+mix_042.fjs,463
15x10+mix_043.fjs,577
15x10+mix_044.fjs,619
15x10+mix_045.fjs,509
15x10+mix_046.fjs,485
15x10+mix_047.fjs,538
15x10+mix_048.fjs,534
15x10+mix_049.fjs,741
15x10+mix_050.fjs,686
15x10+mix_051.fjs,416
15x10+mix_052.fjs,565
15x10+mix_053.fjs,535
15x10+mix_054.fjs,608
15x10+mix_055.fjs,553
15x10+mix_056.fjs,515
15x10+mix_057.fjs,586
15x10+mix_058.fjs,731
15x10+mix_059.fjs,668
15x10+mix_060.fjs,757
15x10+mix_061.fjs,697
15x10+mix_062.fjs,575
15x10+mix_063.fjs,577
15x10+mix_064.fjs,549
15x10+mix_065.fjs,490
15x10+mix_066.fjs,571
15x10+mix_067.fjs,496
15x10+mix_068.fjs,613
15x10+mix_069.fjs,638
15x10+mix_070.fjs,447
15x10+mix_071.fjs,499
15x10+mix_072.fjs,516
15x10+mix_073.fjs,485
15x10+mix_074.fjs,712
15x10+mix_075.fjs,558
15x10+mix_076.fjs,666
15x10+mix_077.fjs,661
15x10+mix_078.fjs,741
15x10+mix_079.fjs,507
15x10+mix_080.fjs,692
15x10+mix_081.fjs,584
15x10+mix_082.fjs,556
15x10+mix_083.fjs,531
15x10+mix_084.fjs,706
15x10+mix_085.fjs,705
15x10+mix_086.fjs,532
15x10+mix_087.fjs,531
15x10+mix_088.fjs,482
15x10+mix_089.fjs,531
15x10+mix_090.fjs,609
15x10+mix_091.fjs,487
15x10+mix_092.fjs,554
15x10+mix_093.fjs,628
15x10+mix_094.fjs,469
15x10+mix_095.fjs,570
15x10+mix_096.fjs,724
15x10+mix_097.fjs,587
15x10+mix_098.fjs,542
15x10+mix_099.fjs,618
15x10+mix_100.fjs,584
