instance_name,makespan,runtime_seconds,status,lower_bound
50j_10m_023.fjs,492.0,1800.5,FEASIBLE,-1
50j_10m_089.fjs,473.0,1800.5,FEASIBLE,-1
50j_10m_040.fjs,477.0,1800.5,FEASIBLE,-1
50j_10m_076.fjs,496.0,1800.6,FEASIBLE,-1
50j_10m_055.fjs,460.0,1800.6,FEASIBLE,-1
50j_10m_071.fjs,456.0,1800.6,FEASIBLE,-1
50j_10m_048.fjs,479.0,1800.6,FEASIBLE,-1
50j_10m_090.fjs,476.0,1800.6,FEASIBLE,-1
50j_10m_037.fjs,431.0,1800.6,FEASIBLE,-1
50j_10m_065.fjs,469.0,1800.7,FEASIBLE,-1
50j_10m_004.fjs,489.0,1800.7,FEASIBLE,-1
50j_10m_034.fjs,484.0,1800.7,FEASIBLE,-1
50j_10m_050.fjs,486.0,1800.7,FEASIBLE,-1
50j_10m_026.fjs,485.0,1800.7,FEASIBLE,-1
50j_10m_058.fjs,505.0,1800.7,FEASIBLE,-1
50j_10m_085.fjs,457.0,1800.7,FEASIBLE,-1
50j_10m_087.fjs,479.0,1800.8,FEASIBLE,-1
50j_10m_066.fjs,468.0,1800.8,FEASIBLE,-1
50j_10m_068.fjs,461.0,1800.9,FEASIBLE,-1
50j_10m_078.fjs,486.0,1800.9,FEASIBLE,-1
50j_10m_005.fjs,481.0,1800.9,FEASIBLE,-1
50j_10m_027.fjs,495.0,1801.0,FEASIBLE,-1
50j_10m_030.fjs,450.0,1801.0,FEASIBLE,-1
50j_10m_006.fjs,471.0,1801.1,FEASIBLE,-1
50j_10m_062.fjs,466.0,1801.6,FEASIBLE,-1
50j_10m_045.fjs,452.0,1801.7,FEASIBLE,-1
50j_10m_067.fjs,460.0,1801.8,FEASIBLE,-1
50j_10m_014.fjs,508.0,1801.9,FEASIBLE,-1
50j_10m_097.fjs,459.0,1800.7,FEASIBLE,-1
